id,airport_name,country,city,code
1,Aleknagik / New Airport,US,Aleknagik,WKK
2,Ghost International Airport,AF,Khost,KHT
3,Honiara International Airport,SB,Honiara,HIR
4,Munda Airport,SB,Munda,MUA
5,Hongyuan Airport,CN,Ngawa (Hongyuan),AHJ
6,Nauru International Airport,NR,Yaren District,INU
7,Alxa Left Banner Bayanhot Airport,CN,Bayanhot,AXF
8,Buka Airport,PG,Buka Island,BUA
9,Chimbu Airport,PG,Kundiawa,CMU
10,Daru Airport,PG,Daru,DAU
11,Goroka Airport,PG,Goronka,GKA
12,Gurney Airport,PG,Gurney,GUR
13,Girua Airport,PG,Popondetta,PNP
14,Hoskins Airport,PG,Kimbe,HKN
15,Kerema Airport,PG,Kerema,KMA
16,Kavieng Airport,PG,Kavieng,KVG
17,Madang Airport,PG,Madang,MAG
18,Mount Hagen Kagamuga Airport,PG,Mount Hagen,HGU
19,Mendi Airport,PG,Mendi,MDU
20,Momote Airport,PG,Manus Island,MAS
21,Nadzab Airport,PG,Lae,LAE
22,Port Moresby Jacksons International Airport,PG,Port Moresby,POM
23,Tokua Airport,PG,Kokopo,RAB
24,Vanimo Airport,PG,Vanimo,VAI
25,Wapenamanda Airport,PG,Wapenamanda,WBM
26,Wewak International Airport,PG,Wewak,WWK
27,Zabrat Airport,AZ,Baku,ZXT
28,Benguera Island Airport,MZ,Benguera Island,BCW
29,Bezmer Air Base,BG,Bezmer,JAM
30,Aasiaat Airport,GL,Aasiaat,JEG
31,Narsarsuaq Airport,GL,Narsarsuaq,UAK
32,Nuuk Airport,GL,Nuuk,GOH
33,Ilulissat Airport,GL,Ilulissat,JAV
34,Kulusuk Airport,GL,Kulusuk,KUS
35,Kangerlussuaq Airport,GL,Kangerlussuaq,SFJ
36,Sisimiut Airport,GL,Sisimiut,JHS
37,Pituffik Space Base,GL,Pituffik,THU
38,Akureyri Airport,IS,Akureyri,AEY
39,Egilsstaðir Airport,IS,Egilsstaðir,EGS
40,Hornafjörður Airport,IS,Höfn,HFN
41,Húsavík Airport,IS,Húsavík,HZK
42,Ísafjörður Airport,IS,Ísafjörður,IFJ
43,Keflavik International Airport,IS,Reykjavík,KEF
44,Reykjavik Airport,IS,Reykjavik,RKV
45,Siglufjörður Airport,IS,Siglufjörður,SIJ
46,Vestmannaeyjar Airport,IS,Vestmannaeyjar,VEY
47,Priština Adem Jashari International Airport,XK,Prishtina,PRN
48,Glauber de Andrade Rocha Airport,BR,Vitória da Conquista,VDC
49,Betong International Airport,TH,Betong,BTZ
50,Orsha Airport - Balbasovo Air Base,BY,Orsha,TXC
51,Caye Caulker Airport,BZ,Caye Caulker,CUK
52,Caye Chapel Airport,BZ,Caye Chapel,CYC
53,Corozal Airport,BZ,Corozal,CZH
54,Dangriga Airport,BZ,Dangriga,DGA
55,Placencia Airport,BZ,Placencia,PLJ
56,Punta Gorda Airport,BZ,Punta Gorda,PND
57,Sartaneja Airport,BZ,Sartaneja,SJX
58,John Greif II Airport,BZ,San Pedro,SPR
59,Sir Barry Bowen Municipal Airport,BZ,Belize City,TZA
60,Bazaruto Island Airport,MZ,Bazaruto Island,BZB
61,Anahim Lake Airport,CA,Anahim Lake,YAA
62,Qualicum Beach Airport,CA,Qualicum Beach,XQU
63,Cache Creek-Ashcroft Regional Airport,CA,Cache Creek,YZA
64,Bella Bella (Campbell Island) Airport,CA,Bella Bella,ZEL
65,Nuevo Chaitén Airport,CL,Chaitén,WCH
66,Yuanmou Air Base,CN,Chuxiong (Yuanmou),YUA
67,Zhangjiakou Ningyuan Airport,CN,Zhangjiakou,ZQZ
68,Baoshan Yunrui Airport,CN,Baoshan (Longyang),BSD
69,Lincang Boshang Airport,CN,Lincang,LNJ
70,Xigaze Peace Airport / Shigatse Air Base,CN,Xigazê (Samzhubzê),RKZ
71,Panzhihua Bao'anying Airport,CN,Panzhihua (Renhe),PZI
72,Foshan Shadi Airport,CN,Foshan (Nanhai),FUO
73,Xinyang Minggang Airport,CN,Xinyang,XAI
74,Huizhou Pingtan Airport,CN,Huizhou (Pingtan),HUZ
75,Shaoguan Danxia Airport,CN,Shaoguan,HSC
76,Jinggangshan Airport,CN,Ji'an,JGS
77,Baise (Bose) Bama Airport,CN,Baise (Tianyang),AEB
78,Lianyungang Huaguoshan International Airport,CN,Lianyungang,LYG
79,Dongying Shengli Airport,CN,Dongying (Kenli),DOY
80,Xingcheng Air Base,CN,Huludao (Xingcheng),XEN
81,Altay Xuedu Airport,CN,Altay,AAT
82,Tianshui Maijishan Airport,CN,Tianshui (Maiji),THQ
83,Wuhan Hannan Municipal Airport,CN,Wuhan (Hannan),WHN
84,Beijing Nanjiao Airport,CN,Beijing,NAY
85,Dandong Langtou Airport,CN,Dandong (Zhenxing),DDG
86,Rikaze Dingri Airport,CN,Xigazê (Dingri),DDR
87,Tashikuergan Hongqilafu Airport,CN,Tashikuergan,HQL
88,Zhanjiang Wuchuan Airport,CN,Zhanjiang,ZHA
89,Ali Pulan Airport,CN,Burang Town,APJ
90,Nantong Xingdong International Airport,CN,Nantong (Tongzhou),NTG
91,Lefkoniko Airport / Geçitkale Air Base,CY,Lefkoniko (Geçitkale),GEC
92,Fort Frances Municipal Airport,CA,Fort Frances,YAG
93,La Grande-4 Airport,CA,La Grande-4,YAH
94,Sault Ste Marie Airport,CA,Sault Ste Marie,YAM
95,Kasabonika Airport,CA,Kasabonika,XKS
96,St. Anthony Airport,CA,St. Anthony,YAY
97,Tofino / Long Beach Airport,CA,Tofino,YAZ
98,Baie-Comeau Airport,CA,Baie-Comeau,YBC
99,Bella Coola Airport,CA,Bella Coola,QBC
100,Bonnyville Airport,CA,Bonnyville,YBY
101,CFB Bagotville / Saguenay-Bagotville Airport,CA,La Baie,YBG
102,Baker Lake Airport,CA,Baker Lake,YBK
103,Campbell River Airport,CA,Campbell River,YBL
104,Brandon Municipal Airport,CA,Brandon,YBR
105,Lourdes-de-Blanc-Sablon Airport,CA,Blanc-Sablon,YBX
106,Cambridge Bay Airport,CA,Cambridge Bay,YCB
107,Cornwall Regional Airport,CA,Cornwall,YCC
108,Nanaimo Airport,CA,Nanaimo,YCD
109,Centralia / James T. Field Memorial Aerodrome,CA,Huron Park,YCE
110,Castlegar/West Kootenay Regional Airport,CA,Castlegar,YCG
111,Miramichi Airport,CA,Miramichi,YCH
112,Charlo Airport,CA,Charlo,YCL
113,Cochrane Airport,CA,Cochrane,YCN
114,Chetwynd Airport,CA,Chetwynd,YCQ
115,Dawson City Airport,CA,Dawson City,YDA
116,Burwash Airport,CA,Burwash Landing,YDB
117,Deer Lake Airport,CA,Deer Lake,YDF
118,Ross River Airport,CA,Ross River,XRR
119,Dauphin Barker Airport,CA,Dauphin,YDN
120,Dolbeau-Saint-Felicien Airport,CA,Dolbeau-Saint-Felicien,YDO
121,Dawson Creek Airport,CA,Dawson Creek,YDQ
122,Edmonton International Airport,CA,Edmonton,YEG
123,Elliot Lake Municipal Airport,CA,Elliot Lake,YEL
124,Manitoulin East Municipal Airport,CA,Sheguiandah,YEM
125,Estevan Airport,CA,Estevan,YEN
126,Edson Airport,CA,Edson,YET
127,Inuvik Mike Zubko Airport,CA,Inuvik,YEV
128,Amos/Magny Airport,CA,Amos,YEY
129,Iqaluit Airport,CA,Iqaluit,YFB
130,Fredericton Airport,CA,Fredericton,YFC
131,Forestville Airport,CA,Forestville,YFE
132,Mont-Tremblant International Airport,CA,La Macaza,YTM
133,Fort Resolution Airport,CA,Fort Resolution,YFR
134,Fort Simpson Airport,CA,Fort Simpson,YFS
135,Kingston Norman Rogers Airport,CA,Kingston,YGK
136,La Grande Rivière Airport,CA,La Grande Rivière,YGL
137,Gimli Industrial Park Airport,CA,Gimli,YGM
138,Michel-Pouliot Gaspé Airport,CA,Gaspé,YGP
139,Geraldton Greenstone Regional Airport,CA,Geraldton,YGQ
140,Îles-de-la-Madeleine Airport,CA,Les Îles-de-la-Madeleine,YGR
141,Havre-Saint-Pierre Airport,CA,Havre-Saint-Pierre,YGV
142,Kuujjuarapik Airport,CA,Kuujjuarapik,YGW
143,Dryden Regional Airport,CA,Dryden,YHD
144,Hearst René Fontaine Municipal Airport,CA,Hearst,YHF
145,John C. Munro Hamilton International Airport,CA,Hamilton,YHM
146,Hornepayne Municipal Airport,CA,Hornepayne,YHN
147,Haines Junction Airport,CA,Haines Junction,YHT
148,Montréal / Saint-Hubert Airport,CA,Montréal,YHU
149,Hay River / Merlyn Carter Airport,CA,Hay River,YHY
150,Halifax / Stanfield International Airport,CA,Halifax,YHZ
151,Atikokan Municipal Airport,CA,Atikokan,YIB
152,Digby / Annapolis Regional Airport,CA,Digby,YDG
153,St Augustin Airport,CA,St-Augustin,YIF
154,Island Lake Airport,CA,Island Lake,YIV
155,Fort Liard Airport,CA,Fort Liard,YJF
156,St Jean Airport,CA,St Jean,YJN
157,Dymond Airport,CA,Stephenville,YJT
